
=== C Reference Spectrogram Dump (DSP only) ===
C_REF_BEGIN rows=49 cols=40
C_REF 668 2.820312500 0x40348000
C_REF 669 2.890625000 0x40390000
C_REF 670 2.742187500 0x402f8000
C_REF 671 2.937500000 0x403c0000
C_REF 672 2.859375000 0x40370000
C_REF 673 2.781250000 0x40320000
C_REF 674 3.414062500 0x405a8000
C_REF 675 3.593750000 0x40660000
C_REF 676 3.406250000 0x405a0000
C_REF 677 3.585937500 0x40658000
C_REF 678 3.562500000 0x40640000
C_REF 679 3.320312500 0x40548000
C_REF 680 0.996093750 0x3f7f0000
C_REF 681 1.066406250 0x3f888000
C_REF 682 1.437500000 0x3fb80000
C_REF 683 2.078125000 0x40050000
C_REF 684 2.062500000 0x40040000
C_REF 685 1.375000000 0x3fb00000
C_REF 686 1.765625000 0x3fe20000
C_REF 687 2.570312500 0x40248000
C_REF 688 2.117187500 0x40078000
C_REF 689 2.351562500 0x40168000
C_REF 690 2.539062500 0x40228000
C_REF 691 1.824218750 0x3fe98000
C_REF 692 2.476562500 0x401e8000
C_REF 693 2.414062500 0x401a8000
C_REF 694 2.375000000 0x40180000
C_REF 695 2.468750000 0x401e0000
C_REF 696 2.617187500 0x40278000
